Source Section	Operation	Category	Type	Invocations
Richards.ns pos=8599 len=22	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	9999
Richards.ns pos=8995 len=14	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	ref	106604
Richards.ns pos=8995 len=14	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	ref	1
Richards.ns pos=8995 len=14	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	TOTAL	106605
Richards.ns pos=9462 len=12	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	10127
Richards.ns pos=9462 len=12	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	9987
Richards.ns pos=9462 len=12	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	20114
Richards.ns pos=9537 len=22	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	ref	340
Richards.ns pos=9537 len=22	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	ref	10127
Richards.ns pos=9537 len=22	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	TOTAL	10467
Richards.ns pos=11897 len=3	not	AnyNode BasicPrimitiveOperation OpArithmetic	bool	41163
Richards.ns pos=11897 len=3	not	AnyNode BasicPrimitiveOperation OpArithmetic	bool	59880
Richards.ns pos=11897 len=3	not	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	101043
Richards.ns pos=12103 len=3	not	AnyNode BasicPrimitiveOperation OpArithmetic StatementTag	bool	23250
Richards.ns pos=12103 len=3	not	AnyNode BasicPrimitiveOperation OpArithmetic StatementTag	TOTAL	23250
Richards.ns pos=12977 len=8	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	8487
Richards.ns pos=12977 len=8	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	14759
Richards.ns pos=12977 len=8	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	23246
Richards.ns pos=13085 len=18	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	11619
Richards.ns pos=13085 len=18	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	3140
Richards.ns pos=13085 len=18	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	14759
Richards.ns pos=13381 len=8	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	8490
Richards.ns pos=13381 len=8	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	14760
Richards.ns pos=13381 len=8	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	23250
Sieve.ns pos=1585 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation ControlFlowCondition	bool	433000
Sieve.ns pos=1585 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation ControlFlowCondition	bool	66899
Sieve.ns pos=1585 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation ControlFlowCondition	TOTAL	499899
Sieve.ns pos=1591 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	499900
Sieve.ns pos=1591 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	499900
Sieve.ns pos=1670 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	66900
Sieve.ns pos=1670 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	66900
Sieve.ns pos=1693 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	66900
Sieve.ns pos=1693 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	66900
Sieve.ns pos=1714 len=7	<=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	int	66900
Sieve.ns pos=1714 len=7	<=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	int	1106900
Sieve.ns pos=1714 len=7	<=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	TOTAL	1173800
Sieve.ns pos=1773 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	bool	1106899
Sieve.ns pos=1773 len=20	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	1106899
Sieve.ns pos=1779 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	1106900
Sieve.ns pos=1779 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1106900
Sieve.ns pos=1801 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	1106900
Sieve.ns pos=1801 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1106900
Sort.ns pos=1600 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	int	199
Sort.ns pos=1600 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	TOTAL	199
Sort.ns pos=1607 len=11	<>	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	int	200
Sort.ns pos=1607 len=11	<>	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	TOTAL	200
Sort.ns pos=1632 len=40	||	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	bool	200
Sort.ns pos=1632 len=40	||	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	200
Sort.ns pos=1643 len=16	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	int	199
Sort.ns pos=1643 len=16	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	TOTAL	199
Sort.ns pos=1654 len=4	size	AnyNode BasicPrimitiveOperation OpLength	arr	199
Sort.ns pos=1654 len=4	size	AnyNode BasicPrimitiveOperation OpLength	TOTAL	199
Sort.ns pos=1661 len=10	<>	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	int	200
Sort.ns pos=1661 len=10	<>	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	TOTAL	200
Sort.ns pos=1904 len=4	size	AnyNode BasicPrimitiveOperation OpLength	arr	199
Sort.ns pos=1904 len=4	size	AnyNode BasicPrimitiveOperation OpLength	TOTAL	199
Sort.ns pos=1940 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	int	92599
Sort.ns pos=1940 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	TOTAL	92599
Sort.ns pos=1946 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	92600
Sort.ns pos=1946 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	92600
Sort.ns pos=1951 len=15	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	92600
Sort.ns pos=1951 len=15	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	92600
Sort.ns pos=1960 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	int	92599
Sort.ns pos=1960 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	TOTAL	92599
Sort.ns pos=2314 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	int	299
Sort.ns pos=2314 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	299
Sort.ns pos=2365 len=9	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	191600
Sort.ns pos=2365 len=9	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	1400
Sort.ns pos=2365 len=9	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	193000
Sort.ns pos=2422 len=10	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	192300
Sort.ns pos=2422 len=10	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	700
Sort.ns pos=2422 len=10	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	193000
Sort.ns pos=2560 len=4	size	AnyNode BasicPrimitiveOperation OpLength	arr	99
Sort.ns pos=2560 len=4	size	AnyNode BasicPrimitiveOperation OpLength	TOTAL	99
Sort.ns pos=2602 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	13000
Sort.ns pos=2602 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	13000
Sort.ns pos=2670 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	int	838499
Sort.ns pos=2670 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	838499
Sort.ns pos=2703 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation	int	838499
Sort.ns pos=2703 len=9	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	838499
Sort.ns pos=2709 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	838500
Sort.ns pos=2709 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	838500
Sort.ns pos=2733 len=6	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	430500
Sort.ns pos=2733 len=6	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	408000
Sort.ns pos=2733 len=6	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	838500
Sort.ns pos=2783 len=15	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	int	407999
Sort.ns pos=2783 len=15	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	407999
Sort.ns pos=2820 len=22	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	int	407999
Sort.ns pos=2820 len=22	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	407999
Sort.ns pos=2826 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	408000
Sort.ns pos=2826 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	408000
Sort.ns pos=3220 len=20	at:	AnyNode ArrayRead BasicPrimitiveOperation	int	69899
Sort.ns pos=3220 len=20	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	69899
Sort.ns pos=3229 len=6	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	69900
Sort.ns pos=3229 len=6	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	69900
Sort.ns pos=3237 len=3	/	AnyNode BasicPrimitiveOperation OpArithmetic	int	69900
Sort.ns pos=3237 len=3	/	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	69900
Sort.ns pos=3283 len=4	<=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	int	69900
Sort.ns pos=3283 len=4	<=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	int	220800
Sort.ns pos=3283 len=4	<=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	TOTAL	290700
Sort.ns pos=3330 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	int	607399
Sort.ns pos=3330 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	TOTAL	607399
Sort.ns pos=3337 len=7	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	int	220800
Sort.ns pos=3337 len=7	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	int	386600
Sort.ns pos=3337 len=7	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	TOTAL	607400
Sort.ns pos=3366 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	386600
Sort.ns pos=3366 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	386600
Sort.ns pos=3391 len=15	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	int	220800
Sort.ns pos=3391 len=15	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	int	271400
Sort.ns pos=3391 len=15	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison StatementTag	TOTAL	492200
Sort.ns pos=3400 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	int	492199
Sort.ns pos=3400 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation PrimitiveArgument	TOTAL	492199
Sort.ns pos=3428 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	271400
Sort.ns pos=3428 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	271400
Sort.ns pos=3449 len=4	<=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	21500
Sort.ns pos=3449 len=4	<=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	199300
Sort.ns pos=3449 len=4	<=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	220800
Sort.ns pos=3526 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	int	199299
Sort.ns pos=3526 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	199299
Sort.ns pos=3553 len=24	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	int	199299
Sort.ns pos=3553 len=24	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	199299
Sort.ns pos=3571 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	int	199299
Sort.ns pos=3571 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	199299
Sort.ns pos=3599 len=14	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	int	199299
Sort.ns pos=3599 len=14	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	199299
Sort.ns pos=3635 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	199300
Sort.ns pos=3635 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	199300
Sort.ns pos=3660 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	199300
Sort.ns pos=3660 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	199300
Sort.ns pos=3682 len=3	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	36700
Sort.ns pos=3682 len=3	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	33200
Sort.ns pos=3682 len=3	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	69900
Sort.ns pos=3745 len=6	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	33300
Sort.ns pos=3745 len=6	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	36600
Sort.ns pos=3745 len=6	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	69900
Sort.ns pos=4081 len=5	isNil	AnyNode BasicPrimitiveOperation OpComparison	ref	49800
Sort.ns pos=4081 len=5	isNil	AnyNode BasicPrimitiveOperation OpComparison	ref	50200
Sort.ns pos=4081 len=5	isNil	AnyNode BasicPrimitiveOperation OpComparison	TOTAL	100000
Sort.ns pos=4105 len=8	<	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	int	49800
Sort.ns pos=4105 len=8	<	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	TOTAL	49800
Sort.ns pos=4115 len=14	&&	AnyNode BasicPrimitiveOperation OpComparison StatementTag	bool	49800
Sort.ns pos=4115 len=14	&&	AnyNode BasicPrimitiveOperation OpComparison StatementTag	TOTAL	49800
Sort.ns pos=4133 len=68	&&	AnyNode BasicPrimitiveOperation OpComparison RootTag StatementTag	bool	100000
Sort.ns pos=4133 len=68	&&	AnyNode BasicPrimitiveOperation OpComparison RootTag StatementTag	TOTAL	100000
Sort.ns pos=4150 len=5	isNil	AnyNode BasicPrimitiveOperation OpComparison	ref	50100
Sort.ns pos=4150 len=5	isNil	AnyNode BasicPrimitiveOperation OpComparison	ref	49900
Sort.ns pos=4150 len=5	isNil	AnyNode BasicPrimitiveOperation OpComparison	TOTAL	100000
Sort.ns pos=4174 len=8	>=	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	int	50100
Sort.ns pos=4174 len=8	>=	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	TOTAL	50100
Sort.ns pos=4184 len=14	&&	AnyNode BasicPrimitiveOperation OpComparison StatementTag	bool	50100
Sort.ns pos=4184 len=14	&&	AnyNode BasicPrimitiveOperation OpComparison StatementTag	TOTAL	50100
Sort.ns pos=4243 len=7	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	618800
Sort.ns pos=4243 len=7	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	497100
Sort.ns pos=4243 len=7	<	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	1115900
Sort.ns pos=4285 len=5	isNil	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	447300
Sort.ns pos=4285 len=5	isNil	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	49800
Sort.ns pos=4285 len=5	isNil	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	497100
Sort.ns pos=4416 len=5	isNil	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	568700
Sort.ns pos=4416 len=5	isNil	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	50100
Sort.ns pos=4416 len=5	isNil	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	618800
Sort.ns pos=4643 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	99900
Sort.ns pos=4643 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	100
Sort.ns pos=4643 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	100000
Sort.ns pos=4699 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	int	99
Sort.ns pos=4699 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	99
Sort.ns pos=4751 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	int	99899
Sort.ns pos=4751 len=5	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	99899
Storage.ns pos=1596 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	546100
Storage.ns pos=1596 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	546100
Storage.ns pos=1615 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	136500
Storage.ns pos=1615 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	409600
Storage.ns pos=1615 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	546100
Storage.ns pos=1664 len=4	%	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	409600
Storage.ns pos=1664 len=4	%	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	409600
Storage.ns pos=1669 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	409600
Storage.ns pos=1669 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	409600
Storage.ns pos=1761 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	546000
Storage.ns pos=1761 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	546000
Towers.ns pos=1375 len=8	at:	AnyNode ArrayRead BasicPrimitiveOperation	ref	12799
Towers.ns pos=1375 len=8	at:	AnyNode ArrayRead BasicPrimitiveOperation	ref	807700
Towers.ns pos=1375 len=8	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	820499
Towers.ns pos=1395 len=6	notNil	AnyNode BasicPrimitiveOperation OpComparison	ref	12800
Towers.ns pos=1395 len=6	notNil	AnyNode BasicPrimitiveOperation OpComparison	ref	807700
Towers.ns pos=1395 len=6	notNil	AnyNode BasicPrimitiveOperation OpComparison	TOTAL	820500
Towers.ns pos=1417 len=11	>=	AnyNode BasicPrimitiveOperation OpComparison StatementTag	int	807700
Towers.ns pos=1417 len=11	>=	AnyNode BasicPrimitiveOperation OpComparison StatementTag	TOTAL	807700
Towers.ns pos=1540 len=18	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	ref	820499
Towers.ns pos=1540 len=18	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	820499
Towers.ns pos=1634 len=8	at:	AnyNode ArrayRead BasicPrimitiveOperation	ref	819099
Towers.ns pos=1634 len=8	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	819099
Towers.ns pos=1654 len=5	isNil	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	819100
Towers.ns pos=1654 len=5	isNil	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	819100
Towers.ns pos=1765 len=22	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	ref	12600
Towers.ns pos=1765 len=22	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	ref	806499
Towers.ns pos=1765 len=22	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	819099
Towers.ns pos=1976 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	819100
Towers.ns pos=1976 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	819100
Towers.ns pos=2205 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	409500
Towers.ns pos=2205 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	409600
Towers.ns pos=2205 len=3	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	819100
Towers.ns pos=2328 len=10	-	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	409500
Towers.ns pos=2328 len=10	-	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	409500
Towers.ns pos=2339 len=8	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	409500
Towers.ns pos=2339 len=8	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	409500
Towers.ns pos=2376 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	409500
Towers.ns pos=2376 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	409500
Towers.ns pos=2495 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	409500
Towers.ns pos=2495 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	409500
