Source Section	Operation	Category	Type	Invocations
NBody.ns pos=3063 len=11	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	10
NBody.ns pos=3370 len=24	-	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=3370 len=24	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=3376 len=17	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	float	1
NBody.ns pos=3376 len=17	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	1
NBody.ns pos=3411 len=24	-	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=3411 len=24	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=3417 len=17	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	float	1
NBody.ns pos=3417 len=17	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	1
NBody.ns pos=3452 len=24	-	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=3452 len=24	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=3458 len=17	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	float	1
NBody.ns pos=3458 len=17	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	1
NBody.ns pos=3827 len=9	*	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	float	8
NBody.ns pos=3827 len=9	*	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	8
NBody.ns pos=3837 len=9	*	AnyNode BasicPrimitiveOperation OpArithmetic RootTag StatementTag	float	8
NBody.ns pos=3837 len=9	*	AnyNode BasicPrimitiveOperation OpArithmetic RootTag StatementTag	TOTAL	8
NBody.ns pos=4081 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4081 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=4140 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4140 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=4199 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4199 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=4258 len=16	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4258 len=16	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=4486 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4486 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=4545 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4545 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=4604 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4604 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=4663 len=16	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4663 len=16	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=4888 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4888 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=4947 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=4947 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=5006 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
NBody.ns pos=5006 len=18	*	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
NBody.ns pos=5065 len=16	*	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
