Source Identifier	Activation Count
Variable_class>>#value:	4200
DeltaBlue>>#newInstance	1
DeltaBlue>>#setupVerifiedRun:	1
Fannkuch>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
Fannkuch>>#initializer`usingPlatform:andHarness:	1
FannkuchBenchmark>>#new	1
Fannkuch>>#`define`cls	1
FannkuchBenchmark>>#innerBenchmarkLoop:numThreads:	4
Fannkuch>>#new:	4
Fannkuch>>#`define`cls	1
Fannkuch>>#initializer`new:	4
Fannkuch>>#pfannkuchen:	20160
Fannkuch>>#λλpfannkuchen@50@51@54@29:	142440
Fannkuch>>#makeNext	20160
Fannkuch>>#λmakeNext@67@27:	34636
Fannkuch>>#λλmakeNext@67@27@70@25:	54768
Fannkuch>>#maxPfannkuchen	4
Fannkuch>>#next	20160
Fannkuch>>#createExpectedResults	1
Fannkuch>>#newInstance	1
Fannkuch>>#setupVerifiedRun:	1
Files>>#usingVmMirror:usingPlatform:	1
_unknown_>>#`define`cls	1
Files>>#initializer`usingVmMirror:usingPlatform:	1
Files>>#`define`cls	1
GCBench>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
GCBench>>#initializer`usingPlatform:andHarness:	1
GCBench>>#new	1
GCBench>>#`define`cls	1
GCBench>>#innerBenchmarkLoop:numThreads:	5
GCBench>>#λinnerBenchmarkLoopnumThreads@78@32:	625000
GCBench>>#λinnerBenchmarkLoopnumThreads@81@25:	20
GCBench>>#make_tree:	45945
GCBench>>#time_constructions:	5
GCBench>>#λtime_constructions@101@18:	20
GCBench>>#time_construction:	20
GCBench>>#λtime_construction@108@28:	1890
GCBench>>#λtime_construction@114@28:	1890
GCBench>>#num_iters:	20
GCBench>>#populate:tree:	43385
GCBench>>#tree_size:	40
GCBench>>#λtree_size@135@22	280
Node_class>>#create:with:	89330
GCBench>>#`define`cls	1
Node_class>>#initializer`create:with:	89330
Node_class>>#create	67305
GCBench>>#newInstance	1
GCBench>>#setupVerifiedRun:	1
Harness>>#usingPlatform:	1
_unknown_>>#`define`cls	1
Harness>>#initializer`usingPlatform:	1
Harness>>#`define`cls	1
Benchmark>>#innerBenchmarkLoop:numThreads:	1165
Benchmark>>#λinnerBenchmarkLoopnumThreads@33@33:	1165
Benchmark>>#assert:equals:	600
Random_class>>#new:	500
Harness>>#`define`cls	1
Random_class>>#initializer`new:	500
Random>>#next	642600
Random_class>>#new	500
Harness>>#`define`cls	1
Run>>#initializer`new	36
Run>>#measure:	1276
Run>>#doRuns:	36
Run>>#λdoRuns@156@31:	1276
Json>>#usingPlatform:andHarness:	1
