Source Identifier	Activation Count
Storage>>#initializer`usingPlatform:andHarness:	1
Storage>>#new	1
Storage>>#`define`cls	1
Storage>>#benchmark	100
Storage>>#verifyResult:	100
Storage>>#buildTreeDepth:with:	546100
Storage>>#λλbuildTreeDepthwith@46@20@47@37	546000
Storage>>#newInstance	1
Storage>>#setupVerifiedRun:	1
Streams_class>>#usingPlatform:	1
_unknown_>>#`define`cls	1
Streams_class>>#initializer`usingPlatform:	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
Streams>>#`define`cls	1
System>>#usingVmMirror:	1
_unknown_>>#`define`cls	1
System>>#initializer`usingVmMirror:	1
System>>#arguments	1
System>>#loadModule:	1
System>>#loadModule:nextTo:	37
_unknown_>>#initializer`new	248148
Threading>>#usingVmMirror:usingKernel:	1
_unknown_>>#`define`cls	1
Threading>>#initializer`usingVmMirror:usingKernel:	1
Threading>>#`define`cls	1
Threading>>#`define`cls	1
Threading>>#`define`cls	1
Threading>>#`define`cls	1
Towers>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
Towers>>#initializer`usingPlatform:andHarness:	1
Towers>>#new	1
Towers>>#`define`cls	1
Towers>>#pushDisk:onPile:	820500
Towers>>#popDiskFrom:	819100
Towers>>#moveTopDiskFrom:to:	819100
Towers>>#buildTowerAt:disks:	100
Towers>>#λbuildTowerAtdisks@61@27:	1400
Towers>>#move:disksFrom:to:	819100
Towers>>#benchmark	100
Towers>>#verifyResult:	100
TowersDisk>>#new:	1400
Towers>>#`define`cls	1
TowersDisk>>#initializer`new:	1400
Towers>>#newInstance	1
Towers>>#setupVerifiedRun:	1
Transactions>>#usingVmMirror:usingKernel:	1
_unknown_>>#`define`cls	1
Transactions>>#initializer`usingVmMirror:usingKernel:	1
