Source Section	Access Type	Data Type	Count
Collections.ns pos=7892 len=4	read	Nil	6
Collections.ns pos=7892 len=4	read	ALL	7
Collections.ns pos=8451 len=15	read	Integer	1
Collections.ns pos=8451 len=15	read	ALL	1
DeltaBlue.ns pos=3418 len=6	read	Variable	499
DeltaBlue.ns pos=3418 len=6	read	ALL	499
DeltaBlue.ns pos=3856 len=6	read	Vector class	499
DeltaBlue.ns pos=3856 len=6	read	ALL	499
DeltaBlue.ns pos=5753 len=6	read	Variable	6699
DeltaBlue.ns pos=5753 len=6	read	ALL	6699
DeltaBlue.ns pos=5760 len=4	read	Integer	6699
DeltaBlue.ns pos=5760 len=4	read	ALL	6699
DeltaBlue.ns pos=5936 len=6	read	Variable	6699
DeltaBlue.ns pos=5936 len=6	read	ALL	6699
DeltaBlue.ns pos=6001 len=6	read	Variable	6699
DeltaBlue.ns pos=6001 len=6	read	ALL	6699
DeltaBlue.ns pos=6496 len=12	read	EditConstraint	1000
DeltaBlue.ns pos=6496 len=12	read	EqualityConstraint	9999
DeltaBlue.ns pos=6496 len=12	read	ScaleConstraint	10600
DeltaBlue.ns pos=6496 len=12	read	StayConstraint	2400
DeltaBlue.ns pos=6496 len=12	read	ALL	23999
DeltaBlue.ns pos=6518 len=11	read	Vector	23999
DeltaBlue.ns pos=6518 len=11	read	ALL	23999
DeltaBlue.ns pos=7422 len=6	read	Vector class	13099
DeltaBlue.ns pos=7422 len=6	read	ALL	13099
DeltaBlue.ns pos=7513 len=6	read	Variable	16198
DeltaBlue.ns pos=7513 len=6	read	ALL	16198
DeltaBlue.ns pos=7520 len=4	read	Integer	17299
DeltaBlue.ns pos=7520 len=4	read	ALL	17299
DeltaBlue.ns pos=7662 len=6	read	Variable	16198
DeltaBlue.ns pos=7662 len=6	read	ALL	16198
DeltaBlue.ns pos=8162 len=12	read	EqualityConstraint	2000
DeltaBlue.ns pos=8162 len=12	read	ScaleConstraint	4200
DeltaBlue.ns pos=8162 len=12	read	Nil	499
DeltaBlue.ns pos=8162 len=12	read	ALL	6699
DeltaBlue.ns pos=8184 len=11	read	Vector	6699
DeltaBlue.ns pos=8184 len=11	read	ALL	6699
DeltaBlue.ns pos=8785 len=11	read	Integer	7399
DeltaBlue.ns pos=8785 len=11	read	ALL	7399
DeltaBlue.ns pos=9115 len=6	read	Vector class	499
DeltaBlue.ns pos=9115 len=6	read	ALL	499
DeltaBlue.ns pos=9242 len=6	read	Vector class	499
DeltaBlue.ns pos=9242 len=6	read	ALL	499
DeltaBlue.ns pos=9335 len=11	read	Vector	6699
DeltaBlue.ns pos=9335 len=11	read	ALL	6699
DeltaBlue.ns pos=9828 len=5	read	Array class	99
DeltaBlue.ns pos=9828 len=5	read	ALL	99
DeltaBlue.ns pos=10462 len=5	read	Integer	9999
DeltaBlue.ns pos=10462 len=5	read	ALL	9999
DeltaBlue.ns pos=10847 len=6	read	Vector class	99
DeltaBlue.ns pos=10847 len=6	read	ALL	99
DeltaBlue.ns pos=11286 len=5	read	Integer	99
DeltaBlue.ns pos=11286 len=5	read	ALL	99
DeltaBlue.ns pos=11410 len=5	read	Integer	99
DeltaBlue.ns pos=11410 len=5	read	ALL	99
DeltaBlue.ns pos=11570 len=5	read	Integer	1899
DeltaBlue.ns pos=11570 len=5	read	ALL	1899
DeltaBlue.ns pos=11756 len=5	read	Integer	1899
DeltaBlue.ns pos=11756 len=5	read	ALL	1899
DeltaBlue.ns pos=12652 len=13	read	Dictionary	7
DeltaBlue.ns pos=12652 len=13	read	ALL	7
DeltaBlue.ns pos=12820 len=15	read	Integer	299
DeltaBlue.ns pos=12820 len=15	read	ALL	299
DeltaBlue.ns pos=12848 len=15	read	Integer	299
DeltaBlue.ns pos=12848 len=15	read	ALL	299
DeltaBlue.ns pos=12980 len=15	read	Integer	13099
DeltaBlue.ns pos=12980 len=15	read	ALL	13099
DeltaBlue.ns pos=13008 len=15	read	Integer	13099
DeltaBlue.ns pos=13008 len=15	read	ALL	13099
DeltaBlue.ns pos=13136 len=15	read	Integer	24599
DeltaBlue.ns pos=13136 len=15	read	ALL	24599
DeltaBlue.ns pos=13164 len=15	read	Integer	24599
DeltaBlue.ns pos=13164 len=15	read	ALL	24599
DeltaBlue.ns pos=14456 len=17	read	Dictionary	6602
DeltaBlue.ns pos=14456 len=17	read	ALL	6602
DeltaBlue.ns pos=14618 len=15	read	Strength	6799
DeltaBlue.ns pos=14618 len=15	read	ALL	6799
DeltaBlue.ns pos=14673 len=8	read	Strength	299
DeltaBlue.ns pos=14673 len=8	read	ALL	299
DeltaBlue.ns pos=17436 len=4	read	Integer	14599
DeltaBlue.ns pos=17436 len=4	read	ALL	14599
DeltaBlue.ns pos=17455 len=4	read	True	8399
DeltaBlue.ns pos=17455 len=4	read	ALL	8399
DeltaBlue.ns pos=18718 len=6	read	Variable	7798
