Class Name	Source Section	Methods Executed
ObjectLiterals	LanguageFeatures.ns pos=14280 len=384	2
ObjectMirror	Mirrors.ns pos=3591 len=1011	2
Object	Kernel.ns pos=2911 len=155	0
OuterConstLoop	LanguageFeatures.ns pos=2914 len=377	2
Packet	Richards.ns pos=10385 len=484	1
Pair	Actors.ns pos=3460 len=373	0
Pair	Kernel.ns pos=21789 len=253	0
ParseException	Json.ns pos=35613 len=283	0
Permute	Permute.ns pos=0 len=1947	3
Permute	Permute.ns pos=1227 len=616	4
Plan	DeltaBlue.ns pos=831 len=345	2
Planner	DeltaBlue.ns pos=1180 len=10670	11
Platform	Platform.ns pos=0 len=1863	2
PolyMorphicBlocks	LanguageFeatures.ns pos=13475 len=801	0
Process	Processes.ns pos=1196 len=194	0
Processes	Processes.ns pos=0 len=3284	1
PromiseGroup	Actors.ns pos=3837 len=1403	0
Promise	Actors.ns pos=2420 len=742	0
Queens	Queens.ns pos=0 len=2435	3
Queens	Queens.ns pos=1224 len=1108	6
QuickSort	Sort.ns pos=3013 len=931	3
RBObject	Richards.ns pos=9327 len=325	1
Random	Harness.ns pos=2070 len=198	2
Recurse	LanguageFeatures.ns pos=7090 len=371	3
Resolver	Actors.ns pos=3166 len=290	0
ReturnEx	LanguageFeatures.ns pos=6486 len=88	1
RichardsBenchmarks	Richards.ns pos=706 len=8617	15
Richards	Richards.ns pos=0 len=13798	3
Richards	Richards.ns pos=542 len=160	2
Run	Harness.ns pos=3922 len=2247	3
ScaleConstraint	DeltaBlue.ns pos=23617 len=2447	5
SeqCltnReadStream	Streams.ns pos=27307 len=2088	0
SeqCltnReadWriteStream	Streams.ns pos=29504 len=2384	0
Set	Collections.ns pos=1285 len=2272	0
Sieve	Sieve.ns pos=0 len=1943	3
Sieve	Sieve.ns pos=1226 len=615	3
SlotMirror	Mirrors.ns pos=4606 len=33	0
Sort	Sort.ns pos=0 len=4987	1
Sort	Sort.ns pos=1261 len=1228	3
StayConstraint	DeltaBlue.ns pos=27938 len=575	2
Storage	Storage.ns pos=0 len=1894	3
Storage	Storage.ns pos=1265 len=526	3
Streams	Streams.ns pos=0 len=32157	1
Strength	DeltaBlue.ns pos=11854 len=2837	5
String	Kernel.ns pos=11092 len=3847	4
Sum	LanguageFeatures.ns pos=7465 len=466	3
Symbol	Kernel.ns pos=14943 len=220	0
System	System.ns pos=0 len=2463	4
TaskControlBlock	Richards.ns pos=12345 len=1232	3
TaskState	Richards.ns pos=10873 len=1468	12
Task	Threading.ns pos=3733 len=407	0
Thing	Kernel.ns pos=1251 len=1656	8
Thread	Threading.ns pos=2971 len=641	0
Threading	Threading.ns pos=0 len=4142	1
Top	Kernel.ns pos=1223 len=24	0
TowersDisk	Towers.ns pos=2808 len=86	1
Towers	Towers.ns pos=0 len=2998	3
Towers	Towers.ns pos=1242 len=1562	7
Transaction	Transactions.ns pos=204 len=353	0
Transactions	Transactions.ns pos=0 len=559	1
Transcript	Richards.ns pos=9656 len=110	0
TransferArray	Kernel.ns pos=19541 len=163	0
TransferObject	Kernel.ns pos=3979 len=41	0
TransferObjectsCannotBeValues	Kernel.ns pos=30224 len=248	0
TreeNode	Sort.ns pos=3948 len=576	3
TreeSort	Sort.ns pos=4528 len=457	3
True	Kernel.ns pos=4588 len=355	0
UnaryConstraint	DeltaBlue.ns pos=26068 len=1866	8
ValueArray	Kernel.ns pos=19708 len=446	0
ValueValueFewer	LanguageFeatures.ns pos=12517 len=89	0
ValueValue	LanguageFeatures.ns pos=11954 len=159	0
Value	Kernel.ns pos=3070 len=176	0
Variable	DeltaBlue.ns pos=28517 len=1529	3
VectorRead	LanguageFeatures.ns pos=9204 len=574	3
Vector	Kernel.ns pos=22046 len=6339	13
WhileLoopPoly	LanguageFeatures.ns pos=8439 len=761	3
WhileLoop	LanguageFeatures.ns pos=7935 len=500	3
WorkerTaskDataRecord	Richards.ns pos=13581 len=112	1
objL@607@15	LanguageFeatures.ns pos=14417 len=0	1
objL@624@13	LanguageFeatures.ns pos=14771 len=0	1
objL@645@13	LanguageFeatures.ns pos=15201 len=0	1
