Name	Executed	Execution Count
Method(Body>>#SolarMass)	true	8
Method(Body>>#jupiter)	true	1
Method(Body>>#neptune)	true	1
Method(Body>>#offsetMomentumX:y:z:)	true	1
Method(Body>>#print)	false	0
Method(Body>>#saturn)	true	1
Method(Body>>#sun)	true	1
Method(Body>>#uranus)	true	1
Method(Boolean>>#&&)	false	0
Method(Boolean>>#ifTrue:ifFalse:)	false	0
Method(Boolean>>#||)	false	0
Method(Bounce>>#newInstance)	true	1
Method(Bounce>>#setupVerifiedRun:)	true	1
Method(Bounce>>#benchmark)	true	100
Method(Bounce>>#verifyResult:)	true	100
Method(BubbleSort>>#dataSize)	true	100
Method(BubbleSort>>#newInstance)	true	1
Method(BubbleSort>>#setupVerifiedRun:)	true	1
Method(BubbleSort>>#sort:)	true	100
Method(ChannelInput>>#read)	false	0
Method(ChannelOutput>>#write:)	false	0
Method(Channel>>#in)	false	0
Method(Channel>>#new)	false	0
Method(Channel>>#out)	false	0
Method(CharacterInputConverter>>#actualAtEnd)	false	0
Method(CharacterInputConverter>>#actualNext)	false	0
Method(CharacterInputConverter>>#close)	false	0
Method(CharacterInputConverter>>#contentsRemaining)	false	0
Method(CharacterInputConverter>>#initBinaryStream:)	false	0
Method(CharacterInputConverter>>#newCollectionOfSize:)	false	0
Method(CharacterInputConverter>>#next:)	false	0
Method(CharacterInputConverter>>#on:)	false	0
Method(CharacterInputConverter>>#size)	false	0
Method(CharacterInputConverter>>#upTo:)	false	0
Method(CharacterInputOutputConverter>>#externalFlush)	false	0
Method(CharacterInputOutputConverter>>#flush)	false	0
Method(CharacterInputOutputConverter>>#next:put:)	false	0
Method(CharacterInputOutputConverter>>#on:)	false	0
Method(CharacterInputOutputConverter>>#position)	false	0
Method(CharacterInputOutputConverter>>#position:)	false	0
Method(CharacterInputOutputConverter>>#put:)	false	0
Method(CharacterInputOutputConverter>>#setToEnd)	false	0
Method(CharacterOutputConverter>>#close)	false	0
Method(CharacterOutputConverter>>#externalFlush)	false	0
Method(CharacterOutputConverter>>#flush)	false	0
Method(CharacterOutputConverter>>#initBinaryStream:)	false	0
Method(CharacterOutputConverter>>#next:put:)	false	0
Method(CharacterOutputConverter>>#on:)	false	0
Method(CharacterOutputConverter>>#put:)	false	0
Method(CharacterOutputConverter>>#putAll:)	false	0
Method(CharacterOutput>>#cr)	false	0
Method(CharacterOutput>>#crTab)	false	0
Method(CharacterOutput>>#crTab:)	false	0
Method(CharacterOutput>>#putAll:)	false	0
Method(CharacterOutput>>#space)	false	0
Method(CharacterOutput>>#tab)	false	0
Method(CharacterReadConverter>>#numCharsUpTo:)	false	0
Method(CharacterReadConverter>>#on:)	false	0
Method(CharacterReadConverter>>#upTo:)	false	0
Method(ClassDefinitionMirror>>#classDefinition)	false	0
Method(ClassDefinitionMirror>>#factoryMethods)	false	0
Method(ClassDefinitionMirror>>#filePath)	false	0
Method(ClassDefinitionMirror>>#hasFactoryMethod:)	false	0
Method(ClassDefinitionMirror>>#methods)	false	0
Method(ClassDefinitionMirror>>#name)	false	0
Method(ClassDefinitionMirror>>#nestedClassDefinitions)	false	0
Method(ClassMirror>>#canUnderstand:)	false	0
Method(ClassMirror>>#classDefinition)	false	0
Method(ClassMirror>>#classMirror)	false	0
Method(ClassMirror>>#classObject)	false	0
Method(ClassMirror>>#methods)	false	0
Method(ClassMirror>>#name)	false	0
Method(ClassMirror>>#nestedClasses)	false	0
Method(ClassMirror>>#slots)	false	0
Method(ClassMirror>>#superclass)	false	0
Method(Class>>#new)	false	0
Method(ClosureDefFibonacci>>#benchmark)	false	0
Method(ClosureDefFibonacci>>#fib:)	false	0
Method(ClosureDefFibonacci>>#newInstance)	false	0
Method(ClosureDefFibonacci>>#setupVerifiedRun:)	false	0
Method(ClosureDefFibonacci>>#verifyResult:)	false	0
Method(ClosureFibonacci>>#benchmark)	false	0
Method(ClosureFibonacci>>#fib)	false	0
Method(ClosureFibonacci>>#newInstance)	false	0
Method(ClosureFibonacci>>#setupVerifiedRun:)	false	0
Method(ClosureFibonacci>>#verifyResult:)	false	0
Method(Condition>>#await)	false	0
Method(Condition>>#await:)	false	0
Method(Condition>>#new)	false	0
Method(Condition>>#signalAll)	false	0
Method(Condition>>#signalOne)	false	0
Method(Delay>>#duration)	false	0
Method(Delay>>#forSeconds:)	false	0
Method(Delay>>#wait)	false	0
Method(DeltaBlue>>#newInstance)	true	1
Method(DeltaBlue>>#setupVerifiedRun:)	true	1
Method(DeltaBlue>>#innerBenchmarkLoop:numThreads:)	true	100
Method(Dictionary>>#at:)	true	6611
Method(Dictionary>>#at:ifAbsent:)	true	6611
Method(Dictionary>>#at:put:)	true	16
Method(Dictionary>>#bucket:)	true	6611
Method(Dictionary>>#bucketIdx:)	true	6627
Method(Dictionary>>#containsKey:)	false	0
Method(Dictionary>>#do:)	false	0
Method(Dictionary>>#hash:)	true	6627
Method(Dictionary>>#insertBucketEntry:value:hash:head:)	true	2
Method(Dictionary>>#isEmpty)	false	0
Method(Dictionary>>#keys)	true	1
Method(Dictionary>>#new)	true	2
Method(Dictionary>>#newEntry:value:hash:)	true	16
Method(Dictionary>>#removeAll)	false	0
Method(Dictionary>>#resize)	false	0
Method(Dictionary>>#size)	false	0
Method(Dictionary>>#splitBucket:bucket:head:)	false	0
Method(Dictionary>>#transferEntries:)	false	0
Method(Dictionary>>#values)	false	0
Method(DispatchNoArg>>#benchmark)	true	10
Method(DispatchNoArg>>#method)	true	200000
Method(DispatchNoArg>>#newInstance)	true	1
Method(DispatchNoArg>>#setupVerifiedRun:)	true	1
Method(DispatchNoArg>>#verifyResult:)	true	10
Method(DispatchPerformNoArg>>#benchmark)	true	10
Method(DispatchPerformNoArg>>#method)	true	200000
Method(DispatchPerformNoArg>>#newInstance)	true	1
Method(DispatchPerformNoArg>>#setupVerifiedRun:)	true	1
Method(DispatchPerformNoArg>>#verifyResult:)	true	10
Method(Dispatch>>#benchmark)	true	10
Method(Dispatch>>#method:)	true	200000
Method(Dispatch>>#newInstance)	true	1
Method(Dispatch>>#setupVerifiedRun:)	true	1
Method(Dispatch>>#verifyResult:)	true	10
Method(Double>>#%)	false	0
Method(Double>>#*)	false	0
Method(Double>>#+)	false	0
Method(Double>>#-)	false	0
Method(Double>>#//)	false	0
Method(Double>>#<)	false	0
Method(Double>>#<=)	false	0
Method(Double>>#=)	false	0
Method(Double>>#>)	false	0
Method(Double>>#>=)	false	0
